"t_start","t_end","Mean.R","Std.R","Quantile.0.025.R","Quantile.0.05.R","Quantile.0.25.R","Median.R","Quantile.0.75.R","Quantile.0.95.R","Quantile.0.975.R","data"
115,122,1.0176531763969,0.0177399689004781,0.983889041194183,0.988917184737018,1.04712465968535,1.01744722403248,1.04712465968535,1.04712465968535,1.05301242938685,2020-04-28
116,123,0.997986621445263,0.016285862221538,0.96642718803957,0.97151228865096,1.02506487562864,0.997837315555944,1.02506487562864,1.02506487562864,1.03012600207131,2020-04-29
117,124,1.00429359763112,0.0154353256252868,0.974641400078126,0.979493514109499,1.03006138695227,1.0040416326285,1.03006138695227,1.03006138695227,1.03550237772424,2020-04-30
118,125,1.05773321541093,0.0155568146839301,1.02747384851402,1.03233090053358,1.08357599573678,1.05750746099449,1.08357599573678,1.08357599573678,1.08831608582402,2020-05-01
119,126,1.04635202962586,0.0147216483659807,1.01815105796876,1.02233083192598,1.07094668647245,1.04635320501733,1.07094668647245,1.07094668647245,1.07566928439564,2020-05-02
120,127,1.02921167601712,0.0146611589833445,1.0007480771046,1.00537251731587,1.05351456312269,1.02917146597438,1.05351456312269,1.05351456312269,1.05795106211018,2020-05-03
121,128,1.04389800953502,0.0150921572093277,1.01452810257226,1.01931688677312,1.06891358154952,1.04379136450357,1.06891358154952,1.06891358154952,1.07359310906143,2020-05-04
122,129,1.04177991791667,0.0149635700655417,1.01262809503682,1.01749880442383,1.06649446802345,1.04160027660952,1.06649446802345,1.06649446802345,1.07103108731541,2020-05-05
123,130,1.04226126178222,0.0148067069354011,1.01377147195435,1.01803540988756,1.06699148594981,1.04218240510582,1.06699148594981,1.06699148594981,1.07145166212537,2020-05-06
124,131,1.06520456703007,0.0149627094152662,1.03605213091533,1.04076202553251,1.08984663362338,1.06520015169854,1.08984663362338,1.08984663362338,1.09450554596931,2020-05-07
125,132,1.05246677172915,0.0151014602794205,1.02317473980486,1.02782114853986,1.07778131606656,1.05241310900711,1.07778131606656,1.07778131606656,1.08219090749414,2020-05-08
126,133,0.991786324919203,0.0148282844198796,0.962706803222065,0.967514675967798,1.01623219769209,0.991782651668219,1.01623219769209,1.01623219769209,1.02097787450985,2020-05-09
127,134,1.03305878839186,0.0147594635810154,1.00453552693904,1.00899749194274,1.05745569287733,1.0329411519216,1.05745569287733,1.05745569287733,1.06231952864964,2020-05-10
128,135,1.04658813578878,0.014060117177466,1.01956336421902,1.023652741283,1.06988889619183,1.04657496235321,1.06988889619183,1.06988889619183,1.07446730121654,2020-05-11
129,136,1.05266985683556,0.0141688604224709,1.02524297851657,1.02957461017879,1.07613678866792,1.05263805563077,1.07613678866792,1.07613678866792,1.08063535377456,2020-05-12
130,137,1.06009594018571,0.0145522806862661,1.03188572769346,1.03639478829319,1.08413824997115,1.0599179692008,1.08413824997115,1.08413824997115,1.08851546795006,2020-05-13
131,138,1.06982138916354,0.0151992530248661,1.04035840124182,1.04491050069227,1.09505108011898,1.06968245166902,1.09505108011898,1.09505108011898,1.09983923354645,2020-05-14
132,139,1.06371261192677,0.0155272939112047,1.03363813477491,1.03844800650211,1.08946581093876,1.06345467286588,1.08946581093876,1.08946581093876,1.0943537592489,2020-05-15
133,140,1.0955499609916,0.0161251169762617,1.0648686707741,1.06956721249317,1.12276790608527,1.09527710298234,1.12276790608527,1.12276790608527,1.12789987400455,2020-05-16
